Tiempo(s),Pitch(rad),Roll(rad),Yaw(rad)
111.33,-0.052,-0.051,-2.083
111.38,-0.052,-0.051,-2.083
111.93,-0.052,-0.051,-2.082
111.98,-0.052,-0.051,-2.082
112.03,-0.052,-0.051,-2.082
112.59,-0.052,-0.051,-2.082
112.64,-0.052,-0.051,-2.082
113.19,-0.052,-0.051,-2.082
113.24,-0.052,-0.051,-2.082
113.29,-0.052,-0.051,-2.081
113.84,-0.052,-0.051,-2.081
113.89,-0.052,-0.051,-2.081
113.94,-0.052,-0.051,-2.08
114.49,-0.053,-0.051,-2.081
114.54,-0.052,-0.051,-2.08
114.59,-0.052,-0.051,-2.08
115.15,-0.052,-0.051,-2.08
115.2,-0.052,-0.051,-2.08
115.75,-0.053,-0.051,-2.08
115.8,-0.052,-0.051,-2.079
115.85,-0.052,-0.051,-2.08
116.4,-0.052,-0.051,-2.079
116.45,-0.052,-0.051,-2.079
117.0,-0.053,-0.051,-2.079
117.05,-0.052,-0.051,-2.079
117.1,-0.052,-0.051,-2.079
117.65,-0.052,-0.051,-2.078
117.71,-0.053,-0.051,-2.078
117.76,-0.052,-0.051,-2.078
118.31,-0.052,-0.051,-2.078
118.36,-0.053,-0.051,-2.078
118.41,-0.052,-0.051,-2.078
118.96,-0.053,-0.052,-2.076
119.01,-0.053,-0.051,-2.078
119.56,-0.052,-0.051,-2.078
119.61,-0.052,-0.051,-2.076
119.66,-0.052,-0.051,-2.078
120.21,-0.053,-0.051,-2.077
120.26,-0.052,-0.051,-2.077
120.82,-0.053,-0.051,-2.077
120.87,-0.052,-0.051,-2.077
120.92,-0.053,-0.051,-2.077
121.47,-0.053,-0.051,-2.077
121.52,-0.052,-0.051,-2.077
121.57,-0.053,-0.051,-2.077
122.12,-0.052,-0.051,-2.077
122.17,-0.052,-0.051,-2.077
122.72,-0.053,-0.051,-2.076
122.77,-0.053,-0.051,-2.076
122.82,-0.052,-0.051,-2.076
122.87,-0.052,-0.051,-2.076
123.43,-0.052,-0.051,-2.076
123.48,-0.053,-0.051,-2.076
124.03,-0.052,-0.051,-2.075
124.08,-0.052,-0.051,-2.076
124.63,-0.052,-0.051,-2.076
124.68,-0.052,-0.051,-2.075
124.73,-0.052,-0.051,-2.075
125.28,-0.052,-0.051,-2.075
125.33,-0.052,-0.051,-2.075
125.38,-0.052,-0.051,-2.075
125.93,-0.052,-0.051,-2.075
125.99,-0.052,-0.051,-2.075
126.04,-0.052,-0.051,-2.075
126.59,-0.052,-0.051,-2.075
126.64,-0.052,-0.051,-2.074
127.19,-0.052,-0.051,-2.074
127.24,-0.052,-0.051,-2.074
127.29,-0.052,-0.051,-2.075
127.84,-0.053,-0.05,-2.075
127.9,-0.052,-0.051,-2.074
128.45,-0.052,-0.051,-2.074
128.5,-0.052,-0.051,-2.074
128.55,-0.052,-0.051,-2.074
129.1,-0.052,-0.051,-2.074
